ID,RA,DEC,FREQ,SigmaSN,SigmaSp,SN,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.79,10:00:54.497,+02:34:30.218,344.241,0,0,4.4,0.79,0.50,0.21,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.80,10:00:54.493,+02:34:39.042,343.727,0,1,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.81,10:00:55.164,+02:34:36.579,343.819,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.82,10:00:54.086,+02:34:41.367,341.912,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.83,10:00:54.383,+02:34:25.635,344.161,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.84,10:00:54.515,+02:34:46.018,343.191,1,2,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.85,10:00:54.420,+02:34:41.230,342.734,1,1,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.86,10:00:53.908,+02:34:35.827,343.122,0,1,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.87,10:00:54.730,+02:34:37.195,343.111,0,1,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.88,10:00:54.333,+02:34:39.589,342.985,1,1,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.89,10:00:54.986,+02:34:25.977,344.309,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.90,10:00:54.830,+02:34:34.322,343.921,0,1,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.91,10:00:54.557,+02:34:36.169,342.632,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.92,10:00:54.264,+02:34:29.260,342.278,1,1,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.93,10:00:54.976,+02:34:29.329,343.054,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.94,10:00:54.593,+02:34:27.550,341.399,0,1,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.95,10:00:54.036,+02:34:37.332,343.613,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
