ID,RA,DEC,FREQ,SN,SigmaSN,SigmaSp,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.703,10:00:53.854,+02:34:30.697,344.72,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.704,10:00:54.725,+02:34:38.631,341.57,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.705,10:00:54.242,+02:34:23.788,344.606,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.706,10:00:53.940,+02:34:32.270,342.814,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.707,10:00:54.725,+02:34:44.377,344.309,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.708,10:00:55.173,+02:34:36.169,342.483,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.709,10:00:55.095,+02:34:30.834,341.878,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.710,10:00:55.054,+02:34:32.544,343.556,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.711,10:00:54.374,+02:34:31.518,344.07,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.712,10:00:55.182,+02:34:37.810,342.072,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.713,10:00:54.169,+02:34:32.954,342.871,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.714,10:00:54.442,+02:34:24.951,341.673,3.9,1,0,0.74,0.49,0.26,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.715,10:00:54.557,+02:34:24.199,344.252,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.716,10:00:54.903,+02:34:24.609,341.559,3.9,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.717,10:00:55.255,+02:34:41.709,341.707,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.718,10:00:54.105,+02:34:24.541,342.495,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.719,10:00:54.255,+02:34:44.650,343.191,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.720,10:00:54.757,+02:34:46.839,342.266,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.721,10:00:55.154,+02:34:31.381,343.351,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.722,10:00:54.630,+02:34:24.609,343.385,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.723,10:00:54.812,+02:34:38.358,341.958,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.724,10:00:55.113,+02:34:40.546,343.978,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.725,10:00:54.365,+02:34:37.947,344.035,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.726,10:00:54.575,+02:34:46.018,341.593,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.727,10:00:54.191,+02:34:23.515,341.559,3.9,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.728,10:00:54.356,+02:34:31.039,344.161,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.729,10:00:55.013,+02:34:32.886,344.104,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.730,10:00:54.529,+02:34:46.566,342.723,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.731,10:00:54.871,+02:34:34.459,343.944,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.732,10:00:54.146,+02:34:41.914,343.031,3.9,1,0,0.29,0.17,0.26,0.00,0.00,0.00,0.89,0.53,0.11,0.00,0.00,0.00
Survey_EL.733,10:00:54.351,+02:34:33.706,341.844,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.734,10:00:54.178,+02:34:31.723,342.563,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.735,10:00:54.575,+02:34:30.560,343.088,3.9,1,0,0.45,0.28,0.34,0.00,0.00,0.00,1.00,0.88,0.00,0.00,0.00,0.00
