#ID RA DEC FREQ SN SigmaSN SigmaSp P PE1 PE2 PSim PSimE1 PSimE2 PPesimistic PPesimisticE1 PPesimisticE2 PSimPesimistic PSimPesimisticE1 PSimPesimisticE2
Survey_EL.84 10:00:54.867 +02:34:39.247 342.449 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.85 10:00:53.876 +02:34:30.218 343.362 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.86 10:00:53.767 +02:34:32.407 344.047 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.87 10:00:55.182 +02:34:31.518 343.077 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.88 10:00:54.785 +02:34:32.133 343.077 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.89 10:00:54.643 +02:34:31.449 343.202 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.90 10:00:54.091 +02:34:44.445 342.94 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.91 10:00:54.132 +02:34:34.938 343.225 4.5 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.92 10:00:54.483 +02:34:45.266 341.319 4.5 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.93 10:00:55.123 +02:34:38.700 342.894 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.94 10:00:53.771 +02:34:38.563 343.431 4.5 2 0 0.58 0.38 0.42 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.95 10:00:54.967 +02:34:24.472 341.467 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.96 10:00:55.036 +02:34:40.478 343.122 4.5 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.97 10:00:54.735 +02:34:45.745 341.821 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.98 10:00:54.064 +02:34:30.013 342.62 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.99 10:00:53.927 +02:34:44.035 342.301 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.100 10:00:54.693 +02:34:25.362 343.807 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.101 10:00:54.301 +02:34:27.277 343.83 4.5 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.102 10:00:54.840 +02:34:32.544 343.214 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.103 10:00:53.959 +02:34:37.879 342.221 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.104 10:00:54.406 +02:34:36.921 343.533 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.105 10:00:54.146 +02:34:31.723 344.583 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.106 10:00:54.100 +02:34:43.556 344.218 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.107 10:00:54.388 +02:34:37.400 341.878 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.108 10:00:54.365 +02:34:42.188 342.769 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.109 10:00:54.684 +02:34:33.843 341.445 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.110 10:00:54.027 +02:34:40.204 342.289 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.111 10:00:54.365 +02:34:27.140 344.127 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.112 10:00:54.497 +02:34:30.218 344.241 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.113 10:00:54.369 +02:34:37.742 341.547 4.4 3 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.114 10:00:54.684 +02:34:46.429 343.841 4.4 2 0 0.42 0.26 0.33 0.00 0.00 0.00 1.00 0.81 0.00 0.00 0.00 0.00
Survey_EL.115 10:00:54.493 +02:34:39.042 343.727 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.116 10:00:55.164 +02:34:36.579 343.819 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.117 10:00:54.086 +02:34:41.367 341.912 4.4 0 0 0.31 0.19 0.24 0.00 0.00 0.00 0.97 0.58 0.03 0.00 0.00 0.00
Survey_EL.118 10:00:54.456 +02:34:28.508 342.426 4.4 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.119 10:00:54.844 +02:34:32.475 343.784 4.4 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.120 10:00:54.383 +02:34:25.635 344.161 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.121 10:00:55.063 +02:34:34.732 341.376 4.4 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
